"index","probe.id","gene.id"
10113,"200664_s_at","DNAJB1"
10114,"200665_s_at","SPARC"
10115,"200666_s_at","DNAJB1"
10116,"200667_at","UBE2D3"
10117,"200668_s_at","UBE2D3"
10118,"200669_s_at","UBE2D3"
10119,"200670_at","XBP1"
10120,"200671_s_at","SPTBN1"
10121,"200672_x_at","SPTBN1"
10122,"200673_at","LAPTM4A"
10123,"200674_s_at","RPL32"
10124,"200675_at","CD81"
10125,"200676_s_at","UBE2L3"
10126,"200677_at","PTTG1IP"
10127,"200678_x_at","GRN"
10128,"200679_x_at","HMGB1"
10129,"200680_x_at","HMGB1"
10130,"200681_at","GLO1"
10131,"200682_s_at","UBE2L3"
10132,"200683_s_at","UBE2L3"
10133,"200684_s_at","UBE2L3"
10134,"200685_at","SRSF11"
10135,"200686_s_at","SRSF11"
10136,"200687_s_at","SF3B3"
10137,"200688_at","SF3B3"
10138,"200689_x_at","EEF1G"
10139,"200690_at","HSPA9"
10140,"200691_s_at","HSPA9"
10141,"200692_s_at","HSPA9"
10142,"200693_at","YWHAQ"
10143,"200694_s_at","DDX24"
10144,"200695_at","PPP2R1A"
10145,"200696_s_at","GSN"
10146,"200697_at","HK1"
10147,"200698_at","KDELR2"
10148,"200699_at","KDELR2"
10149,"200700_s_at","KDELR2"
10150,"200701_at","NPC2"
10151,"200702_s_at","DDX24"
10152,"200703_at","DYNLL1"
10153,"200704_at","LITAF"
10154,"200705_s_at","EEF1B2"
10155,"200706_s_at","LITAF"
10156,"200707_at","PRKCSH"
10157,"200708_at","GOT2"
10158,"200709_at","FKBP1A"
10159,"200710_at","ACADVL"
10160,"200711_s_at","SKP1"
10161,"200712_s_at","MAPRE1"
10162,"200713_s_at","MAPRE1"
10163,"200714_x_at","OS9"
10164,"200715_x_at","RPL13A"
10165,"200716_x_at","RPL13A"
10166,"200717_x_at","RPL7"
10167,"200718_s_at","SKP1"
10168,"200719_at","SKP1"
10169,"200720_s_at","ACTR1A"
10170,"200721_s_at","ACTR1A"
10171,"200722_s_at","CAPRIN1"
10172,"200723_s_at","CAPRIN1"
10173,"200724_at","RPL10"
10174,"200725_x_at","RPL10"
10175,"200726_at","PPP1CC"
10176,"200727_s_at","ACTR2"
10177,"200728_at","ACTR2"
10178,"200729_s_at","ACTR2"
10179,"200730_s_at","PTP4A1"
10180,"200731_s_at","PTP4A1"
10181,"200732_s_at","PTP4A1"
10182,"200733_s_at","PTP4A1"
10183,"200734_s_at","ARF3"
10184,"200735_x_at","NACA"
10185,"200736_s_at","GPX1"
10186,"200737_at","PGK1"
10187,"200738_s_at","PGK1"
10188,"200739_s_at","SUMO3"
10189,"200740_s_at","SUMO3"
10190,"200741_s_at","RPS27"
10191,"200742_s_at","TPP1"
10192,"200743_s_at","TPP1"
10193,"200744_s_at","GNB1"
10194,"200745_s_at","GNB1"
10195,"200746_s_at","GNB1"
10196,"200747_s_at","NUMA1"
10197,"200748_s_at","FTH1"
10198,"200749_at","RAN"
10199,"200750_s_at","RAN"
10200,"200751_s_at","HNRNPC"
10201,"200752_s_at","CAPN1"
10202,"200753_x_at","SRSF2"
10203,"200754_x_at","SRSF2"
10204,"200755_s_at","CALU"
10205,"200756_x_at","CALU"
10206,"200757_s_at","CALU"
10207,"200758_s_at","NFE2L1"
10208,"200759_x_at","NFE2L1"
10209,"200760_s_at","ARL6IP5"
10210,"200761_s_at","ARL6IP5"
10211,"200762_at","DPYSL2"
10212,"200763_s_at","RPLP1"
10213,"200764_s_at","CTNNA1"
10214,"200765_x_at","CTNNA1"
10215,"200766_at","CTSD"
10216,"200767_s_at","FAM120A"
10217,"200768_s_at","MAT2A"
10218,"200769_s_at","MAT2A"
10219,"200770_s_at","LAMC1"
10220,"200771_at","LAMC1"
10221,"200772_x_at","PTMA"
10222,"200773_x_at","PTMA"
10223,"200774_at","FAM120A"
10224,"200775_s_at","HNRNPK"
10225,"200776_s_at","BZW1"
10226,"200777_s_at","BZW1"
10227,"200778_s_at","SEPTIN2"
10228,"200779_at","ATF4"
10229,"200780_x_at","GNAS"
10230,"200781_s_at","RPS15A"
10231,"200782_at","ANXA5"
10232,"200783_s_at","STMN1"
10233,"200784_s_at","LRP1"
10234,"200785_s_at","LRP1"
10235,"200786_at","PSMB7"
10236,"200787_s_at","PEA15"
10237,"200788_s_at","PEA15"
10238,"200789_at","ECH1"
10239,"200790_at","ODC1"
10240,"200791_s_at","IQGAP1"
10241,"200792_at","XRCC6"
10242,"200793_s_at","ACO2"
10243,"200794_x_at","DAZAP2"
10244,"200795_at","SPARCL1"
10245,"200796_s_at","MCL1"
10246,"200797_s_at","MCL1"
10247,"200798_x_at","MCL1"
10248,"200799_at","HSPA1A"
10249,"200800_s_at","HSPA1A"
10250,"200801_x_at","ACTB"
10251,"200802_at","SARS1"
10252,"200803_s_at","TMBIM6"
10253,"200804_at","TMBIM6"
10254,"200805_at","LMAN2"
10255,"200806_s_at","HSPD1"
10256,"200807_s_at","HSPD1"
10257,"200808_s_at","ZYX"
