"index","probe.id","gene.id"
11938,"202489_s_at","FXYD3"
11939,"202490_at","ELP1"
11940,"202491_s_at","ELP1"
11941,"202492_at","ATG9A"
11942,"202493_x_at","CSH1"
11943,"202494_at","PPIE"
11944,"202495_at","TBCC"
11945,"202496_at","EDC4"
11946,"202497_x_at","SLC2A3"
11947,"202498_s_at","SLC2A3"
11948,"202499_s_at","SLC2A3"
11949,"202500_at","DNAJB2"
11950,"202501_at","MAPRE2"
11951,"202502_at","ACADM"
11952,"202503_s_at","PCLAF"
11953,"202504_at","TRIM29"
11954,"202505_at","SNRPB2"
11955,"202506_at","ITPRID2"
11956,"202507_s_at","SNAP25"
11957,"202508_s_at","SNAP25"
11958,"202509_s_at","TNFAIP2"
11959,"202510_s_at","TNFAIP2"
11960,"202511_s_at","ATG5"
11961,"202512_s_at","ATG5"
11962,"202513_s_at","PPP2R5D"
11963,"202514_at","DLG1"
11964,"202515_at","DLG1"
11965,"202516_s_at","DLG1"
11966,"202517_at","CRMP1"
11967,"202518_at","BCL7B"
11968,"202519_at","MLXIP"
11969,"202520_s_at","MLH1"
11970,"202521_at","CTCF"
11971,"202522_at","PITPNB"
11972,"202523_s_at","SPOCK2"
11973,"202524_s_at","SPOCK2"
11974,"202525_at","PRSS8"
11975,"202526_at","SMAD4"
11976,"202527_s_at","SMAD4"
11977,"202528_at","GALE"
11978,"202529_at","PRPSAP1"
11979,"202530_at","MAPK14"
11980,"202531_at","IRF1"
11981,"202532_s_at","DHFR"
11982,"202533_s_at","DHFR"
11983,"202534_x_at","DHFR"
11984,"202535_at","FADD"
11985,"202536_at","CHMP2B"
11986,"202537_s_at","CHMP2B"
11987,"202538_s_at","CHMP2B"
11988,"202539_s_at","HMGCR"
11989,"202540_s_at","HMGCR"
11990,"202541_at","AIMP1"
11991,"202542_s_at","AIMP1"
11992,"202543_s_at","GMFB"
11993,"202544_at","GMFB"
11994,"202545_at","PRKCD"
11995,"202546_at","VAMP8"
11996,"202547_s_at","ARHGEF7"
11997,"202548_s_at","ARHGEF7"
11998,"202549_at","VAPB"
11999,"202550_s_at","VAPB"
12000,"202551_s_at","CRIM1"
12001,"202552_s_at","CRIM1"
12002,"202553_s_at","SYF2"
12003,"202554_s_at","GSTM3"
12004,"202555_s_at","MYLK"
12005,"202556_s_at","MCRS1"
12006,"202557_at","HSPA13"
12007,"202558_s_at","HSPA13"
12008,"202559_x_at","CHTOP"
12009,"202560_s_at","CHTOP"
12010,"202561_at","TNKS"
12011,"202562_s_at","ERG28"
12012,"202563_at","ERG28"
12013,"202564_x_at","ARL2"
12014,"202565_s_at","SVIL"
12015,"202566_s_at","SVIL"
12016,"202567_at","SNRPD3"
12017,"202568_s_at","MARK3"
12018,"202569_s_at","MARK3"
12019,"202570_s_at","DLGAP4"
12020,"202571_s_at","DLGAP4"
12021,"202572_s_at","DLGAP4"
12022,"202573_at","CSNK1G2"
12023,"202574_s_at","CSNK1G2"
12024,"202575_at","CRABP2"
12025,"202576_s_at","DDX19B"
12026,"202577_s_at","DDX19A"
12027,"202578_s_at","DDX19A"
12028,"202579_x_at","HMGN4"
12029,"202580_x_at","FOXM1"
12030,"202581_at","HSPA1B"
12031,"202582_s_at","RANBP9"
12032,"202583_s_at","RANBP9"
12033,"202584_at","NFX1"
12034,"202585_s_at","NFX1"
12035,"202586_at","POLR2L"
12036,"202587_s_at","AK1"
12037,"202588_at","AK1"
12038,"202589_at","TYMS"
12039,"202590_s_at","PDK2"
12040,"202591_s_at","SSBP1"
12041,"202592_at","BLOC1S1"
12042,"202593_s_at","GDE1"
12043,"202594_at","LEPROTL1"
12044,"202595_s_at","LEPROTL1"
12045,"202596_at","ENSA"
12046,"202597_at","IRF6"
12047,"202598_at","S100A13"
12048,"202599_s_at","NRIP1"
12049,"202600_s_at","NRIP1"
12050,"202601_s_at","HTATSF1"
12051,"202602_s_at","HTATSF1"
12052,"202603_at","ADAM10"
12053,"202604_x_at","ADAM10"
12054,"202605_at","GUSB"
12055,"202606_s_at","TLK1"
12056,"202607_at","NDST1"
12057,"202608_s_at","NDST1"
12058,"202609_at","EPS8"
12059,"202610_s_at","MED14"
12060,"202611_s_at","MED14"
12061,"202612_s_at","MED14"
12062,"202613_at","CTPS1"
12063,"202614_at","SLC30A9"
12064,"202615_at","GNAQ"
12065,"202616_s_at","MECP2"
12066,"202617_s_at","MECP2"
12067,"202618_s_at","MECP2"
12068,"202619_s_at","PLOD2"
12069,"202620_s_at","PLOD2"
12070,"202621_at","IRF3"
12071,"202622_s_at","ATXN2"
12072,"202623_at","EAPP"
12073,"202624_s_at","CABIN1"
12074,"202625_at","LYN"
12075,"202626_s_at","LYN"
12076,"202627_s_at","SERPINE1"
12077,"202628_s_at","SERPINE1"
12078,"202629_at","APPBP2"
12079,"202630_at","APPBP2"
12080,"202631_s_at","APPBP2"
12081,"202632_at","DPH1"
12082,"202633_at","TOPBP1"
12083,"202634_at","POLR2K"
12084,"202635_s_at","POLR2K"
12085,"202636_at","RNF103"
12086,"202637_s_at","ICAM1"
12087,"202638_s_at","ICAM1"
12088,"202639_s_at","RANBP3"
12089,"202640_s_at","RANBP3"
12090,"202641_at","ARL3"
12091,"202642_s_at","TRRAP"
12092,"202643_s_at","TNFAIP3"
12093,"202644_s_at","TNFAIP3"
12094,"202645_s_at","MEN1"
12095,"202646_s_at","CSDE1"
12096,"202647_s_at","NRAS"
12097,"202648_at","RPS19"
12098,"202649_x_at","RPS19"
12099,"202650_s_at","TMEM94"
12100,"202651_at","LPGAT1"
12101,"202652_at","APBB1"
12102,"202653_s_at","MARCHF7"
12103,"202654_x_at","MARCHF7"
12104,"202655_at","MANF"
12105,"202656_s_at","SERTAD2"
12106,"202657_s_at","SERTAD2"
12107,"202658_at","PEX11B"
12108,"202659_at","PSMB10"
12109,"202660_at","ITPR2"
12110,"202661_at","ITPR2"
12111,"202662_s_at","ITPR2"
12112,"202663_at","WIPF1"
12113,"202664_at","WIPF1"
12114,"202665_s_at","WIPF1"
12115,"202666_s_at","ACTL6A"
12116,"202667_s_at","SLC39A7"
12117,"202668_at","EFNB2"
12118,"202669_s_at","EFNB2"
12119,"202670_at","MAP2K1"
12120,"202671_s_at","PDXK"
12121,"202672_s_at","ATF3"
12122,"202673_at","DPM1"
12123,"202674_s_at","LMO7"
12124,"202675_at","SDHB"
12125,"202676_x_at","FASTK"
12126,"202677_at","RASA1"
12127,"202678_at","GTF2A2"
12128,"202679_at","NPC1"
12129,"202680_at","GTF2E2"
12130,"202681_at","USP4"
12131,"202682_s_at","USP4"
12132,"202683_s_at","RNMT"
12133,"202684_s_at","RNMT"
12134,"202685_s_at","AXL"
12135,"202686_s_at","AXL"
12136,"202687_s_at","TNFSF10"
12137,"202688_at","TNFSF10"
12138,"202689_at","RBM15B"
12139,"202690_s_at","SNRPD1"
12140,"202691_at","SNRPD1"
12141,"202692_s_at","UBTF"
12142,"202693_s_at","STK17A"
12143,"202694_at","STK17A"
12144,"202695_s_at","STK17A"
12145,"202696_at","OXSR1"
12146,"202697_at","NUDT21"
12147,"202698_x_at","COX4I1"
12148,"202699_s_at","TMEM63A"
12149,"202700_s_at","TMEM63A"
12150,"202701_at","BMP1"
12151,"202702_at","TRIM26"
12152,"202703_at","DUSP11"
12153,"202704_at","TOB1"
12154,"202705_at","CCNB2"
12155,"202706_s_at","UMPS"
12156,"202707_at","UMPS"
12157,"202708_s_at","H2BC21"
12158,"202709_at","FMOD"
12159,"202710_at","BET1"
12160,"202711_at","EFNB1"
12161,"202712_s_at","CKMT1B"
12162,"202713_s_at","PRORP"
12163,"202714_s_at","PRORP"
12164,"202715_at","CAD"
12165,"202716_at","PTPN1"
12166,"202717_s_at","CDC16"
12167,"202718_at","IGFBP2"
12168,"202719_s_at","TES"
12169,"202720_at","TES"
12170,"202721_s_at","GFPT1"
12171,"202722_s_at","GFPT1"
12172,"202723_s_at","FOXO1"
12173,"202724_s_at","FOXO1"
12174,"202725_at","POLR2A"
12175,"202726_at","LIG1"
12176,"202727_s_at","IFNGR1"
12177,"202728_s_at","LTBP1"
12178,"202729_s_at","LTBP1"
12179,"202730_s_at","PDCD4"
12180,"202731_at","PDCD4"
12181,"202732_at","PKIG"
12182,"202733_at","P4HA2"
12183,"202734_at","TRIP10"
12184,"202735_at","EBP"
12185,"202736_s_at","LSM4"
12186,"202737_s_at","LSM4"
12187,"202738_s_at","PHKB"
12188,"202739_s_at","PHKB"
12189,"202740_at","ACY1"
12190,"202741_at","PRKACB"
12191,"202742_s_at","PRKACB"
12192,"202743_at","PIK3R3"
12193,"202744_at","SLC20A2"
12194,"202745_at","USP8"
12195,"202746_at","ITM2A"
12196,"202747_s_at","ITM2A"
12197,"202748_at","GBP2"
12198,"202749_at","GET1"
12199,"202750_s_at","TFIP11"
12200,"202751_at","TFIP11"
12201,"202752_x_at","SLC7A8"
12202,"202753_at","PSMD6"
12203,"202754_at","R3HDM1"
12204,"202755_s_at","GPC1"
12205,"202756_s_at","GPC1"
12206,"202757_at","NELFB"
12207,"202758_s_at","RFXANK"
12208,"202759_s_at","PALM2AKAP2"
12209,"202760_s_at","PALM2AKAP2"
12210,"202761_s_at","SYNE2"
12211,"202762_at","ROCK2"
12212,"202763_at","CASP3"
12213,"202764_at","STIM1"
12214,"202765_s_at","FBN1"
12215,"202766_s_at","FBN1"
12216,"202767_at","ACP2"
12217,"202768_at","FOSB"
12218,"202769_at","CCNG2"
12219,"202770_s_at","CCNG2"
12220,"202771_at","PIEZO1"
12221,"202772_at","HMGCL"
12222,"202773_s_at","SFSWAP"
12223,"202774_s_at","SFSWAP"
12224,"202775_s_at","SFSWAP"
12225,"202776_at","DNTTIP2"
12226,"202777_at","SHOC2"
12227,"202778_s_at","ZMYM2"
12228,"202779_s_at","UBE2S"
12229,"202780_at","OXCT1"
12230,"202781_s_at","INPP5K"
12231,"202782_s_at","INPP5K"
12232,"202783_at","NNT"
12233,"202784_s_at","NNT"
12234,"202785_at","NDUFA7"
12235,"202786_at","STK39"
12236,"202787_s_at","MAPKAPK3"
12237,"202788_at","MAPKAPK3"
12238,"202789_at","PLCG1"
12239,"202790_at","CLDN7"
12240,"202791_s_at","PPP6R2"
12241,"202792_s_at","PPP6R2"
12242,"202793_at","LPCAT3"
12243,"202794_at","INPP1"
12244,"202795_x_at","TRIOBP"
12245,"202796_at","SYNPO"
12246,"202797_at","SACM1L"
12247,"202798_at","SEC24B"
12248,"202799_at","CLPP"
12249,"202800_at","SLC1A3"
12250,"202801_at","PRKACA"
12251,"202802_at","DHPS"
12252,"202803_s_at","ITGB2"
12253,"202804_at","ABCC1"
12254,"202805_s_at","ABCC1"
12255,"202806_at","DBN1"
12256,"202807_s_at","TOM1"
12257,"202808_at","WBP1L"
12258,"202809_s_at","INTS3"
12259,"202810_at","DRG1"
12260,"202811_at","STAMBP"
12261,"202812_at","GAA"
12262,"202813_at","TARBP1"
12263,"202814_s_at","HEXIM1"
12264,"202815_s_at","HEXIM1"
12265,"202816_s_at","SS18"
12266,"202817_s_at","SS18"
12267,"202818_s_at","ELOA"
12268,"202819_s_at","ELOA"
12269,"202820_at","AHR"
12270,"202821_s_at","LPP"
12271,"202822_at","LPP"
12272,"202823_at","ELOC"
12273,"202824_s_at","ELOC"
12274,"202825_at","SLC25A4"
12275,"202826_at","SPINT1"
12276,"202827_s_at","MMP14"
12277,"202828_s_at","MMP14"
12278,"202829_s_at","VAMP7"
12279,"202830_s_at","SLC37A4"
12280,"202831_at","GPX2"
12281,"202832_at","GCC2"
12282,"202833_s_at","SERPINA1"
12283,"202834_at","AGT"
12284,"202835_at","TXNL4A"
12285,"202836_s_at","TXNL4A"
12286,"202837_at","TRAFD1"
12287,"202838_at","FUCA1"
12288,"202839_s_at","NDUFB7"
12289,"202840_at","TAF15"
12290,"202841_x_at","OGFR"
12291,"202842_s_at","DNAJB9"
12292,"202843_at","DNAJB9"
12293,"202844_s_at","RALBP1"
12294,"202845_s_at","RALBP1"
12295,"202846_s_at","PIGC"
12296,"202847_at","PCK2"
12297,"202848_s_at","GRK6"
12298,"202849_x_at","GRK6"
12299,"202850_at","ABCD3"
12300,"202851_at","AAGAB"
12301,"202852_s_at","AAGAB"
12302,"202853_s_at","RYK"
12303,"202854_at","HPRT1"
12304,"202855_s_at","SLC16A3"
12305,"202856_s_at","SLC16A3"
12306,"202857_at","CNPY2"
12307,"202858_at","U2AF1"
12308,"202859_x_at","CXCL8"
12309,"202860_at","DENND4B"
12310,"202861_at","PER1"
12311,"202862_at","FAH"
12312,"202863_at","SP100"
12313,"202864_s_at","SP100"
12314,"202865_at","DNAJB12"
12315,"202866_at","DNAJB12"
12316,"202867_s_at","DNAJB12"
12317,"202868_s_at","POP4"
12318,"202869_at","OAS1"
12319,"202870_s_at","CDC20"
12320,"202871_at","TRAF4"
12321,"202872_at","ATP6V1C1"
12322,"202873_at","ATP6V1C1"
12323,"202874_s_at","ATP6V1C1"
12324,"202875_s_at","PBX2"
12325,"202876_s_at","PBX2"
12326,"202877_s_at","CD93"
12327,"202878_s_at","CD93"
12328,"202879_s_at","CYTH1"
12329,"202880_s_at","CYTH1"
12330,"202881_x_at","NOL7"
12331,"202882_x_at","NOL7"
12332,"202883_s_at","PPP2R1B"
12333,"202884_s_at","PPP2R1B"
12334,"202885_s_at","PPP2R1B"
12335,"202886_s_at","PPP2R1B"
12336,"202887_s_at","DDIT4"
12337,"202888_s_at","ANPEP"
12338,"202889_x_at","MAP7"
12339,"202890_at","MAP7"
12340,"202891_at","NIT1"
12341,"202892_at","CDC23"
12342,"202893_at","UNC13B"
12343,"202894_at","EPHB4"
12344,"202895_s_at","SIRPA"
12345,"202896_s_at","SIRPA"
12346,"202897_at","SIRPA"
12347,"202898_at","SDC3"
12348,"202899_s_at","SRSF3"
12349,"2028_s_at","E2F1"
12350,"202900_s_at","NUP88"
12351,"202901_x_at","CTSS"
12352,"202902_s_at","CTSS"
12353,"202903_at","LSM5"
12354,"202904_s_at","LSM5"
12355,"202905_x_at","NBN"
12356,"202906_s_at","NBN"
12357,"202907_s_at","NBN"
12358,"202908_at","WFS1"
12359,"202909_at","EPM2AIP1"
12360,"202910_s_at","ADGRE5"
12361,"202911_at","MSH6"
12362,"202912_at","ADM"
12363,"202913_at","ARHGEF11"
12364,"202914_s_at","ARHGEF11"
12365,"202915_s_at","FAM20B"
12366,"202916_s_at","FAM20B"
12367,"202917_s_at","S100A8"
12368,"202918_s_at","MOB4"
12369,"202919_at","MOB4"
12370,"202920_at","ANK2"
12371,"202921_s_at","ANK2"
12372,"202922_at","GCLC"
12373,"202923_s_at","GCLC"
12374,"202924_s_at","PLAGL2"
12375,"202925_s_at","PLAGL2"
12376,"202926_at","NBAS"
12377,"202927_at","PIN1"
12378,"202928_s_at","PHF1"
12379,"202929_s_at","DDT"
12380,"202930_s_at","SUCLA2"
12381,"202931_x_at","BIN1"
12382,"202932_at","YES1"
12383,"202933_s_at","YES1"
12384,"202934_at","HK2"
12385,"202935_s_at","SOX9"
12386,"202936_s_at","SOX9"
12387,"202937_x_at","RRP7A"
12388,"202938_x_at","RRP7A"
12389,"202939_at","ZMPSTE24"
12390,"202940_at","WNK1"
12391,"202941_at","NDUFV2"
12392,"202942_at","ETFB"
12393,"202943_s_at","NAGA"
12394,"202944_at","NAGA"
12395,"202945_at","FPGS"
12396,"202946_s_at","BTBD3"
12397,"202947_s_at","GYPC"
12398,"202948_at","IL1R1"
12399,"202949_s_at","FHL2"
12400,"202950_at","CRYZ"
12401,"202951_at","STK38"
12402,"202952_s_at","ADAM12"
12403,"202953_at","C1QB"
12404,"202954_at","UBE2C"
12405,"202955_s_at","ARFGEF1"
12406,"202956_at","ARFGEF1"
12407,"202957_at","HCLS1"
12408,"202958_at","PTPN9"
12409,"202959_at","MMUT"
12410,"202960_s_at","MMUT"
12411,"202961_s_at","ATP5MF"
12412,"202962_at","KIF13B"
12413,"202963_at","RFX5"
12414,"202964_s_at","RFX5"
12415,"202965_s_at","CAPN6"
12416,"202966_at","CAPN6"
12417,"202967_at","GSTA4"
12418,"202968_s_at","DYRK2"
12419,"202969_at","DYRK2"
12420,"202970_at","DYRK2"
12421,"202971_s_at","DYRK2"
12422,"202972_s_at","FAM13A"
12423,"202973_x_at","FAM13A"
12424,"202974_at","MPP1"
12425,"202975_s_at","RHOBTB3"
12426,"202976_s_at","RHOBTB3"
12427,"202977_s_at","CREBZF"
12428,"202978_s_at","CREBZF"
12429,"202979_s_at","CREBZF"
12430,"202980_s_at","SIAH1"
12431,"202981_x_at","SIAH1"
12432,"202982_s_at","ACOT2"
12433,"202983_at","HLTF"
12434,"202984_s_at","BAG5"
12435,"202985_s_at","BAG5"
12436,"202986_at","ARNT2"
12437,"202987_at","TRAF3IP2"
12438,"202988_s_at","RGS1"
12439,"202989_at","RGS1"
12440,"202990_at","PYGL"
12441,"202991_at","STARD3"
12442,"202992_at","C7"
12443,"202993_at","ILVBL"
12444,"202994_s_at","FBLN1"
12445,"202995_s_at","FBLN1"
12446,"202996_at","POLD4"
12447,"202997_s_at","LOXL2"
12448,"202998_s_at","LOXL2"
12449,"202999_s_at","LOXL2"
12450,"203000_at","STMN2"
12451,"203001_s_at","STMN2"
12452,"203002_at","AMOTL2"
12453,"203003_at","MEF2D"
12454,"203004_s_at","MEF2D"
12455,"203005_at","LTBR"
12456,"203006_at","INPP5A"
12457,"203007_x_at","LYPLA1"
12458,"203008_x_at","TXNDC9"
12459,"203009_at","BCAM"
12460,"203010_at","STAT5A"
12461,"203011_at","IMPA1"
12462,"203012_x_at","RPL23A"
12463,"203013_at","ECD"
12464,"203014_x_at","SGSM3"
12465,"203015_s_at","SSX2IP"
12466,"203016_s_at","SSX2IP"
12467,"203017_s_at","SSX2IP"
12468,"203018_s_at","SSX2IP"
12469,"203019_x_at","SSX2IP"
12470,"203020_at","RABGAP1L"
12471,"203021_at","SLPI"
12472,"203022_at","RNASEH2A"
12473,"203023_at","NOP16"
12474,"203024_s_at","C5orf15"
12475,"203025_at","NAA10"
12476,"203026_at","ZBTB5"
12477,"203027_s_at","MVD"
12478,"203028_s_at","CYBA"
12479,"203029_s_at","PTPRN2"
12480,"203030_s_at","PTPRN2"
12481,"203031_s_at","UROS"
12482,"203032_s_at","FH"
12483,"203033_x_at","FH"
12484,"203034_s_at","RPL27A"
12485,"203035_s_at","PIAS3"
12486,"203036_s_at","MTSS1"
12487,"203037_s_at","MTSS1"
12488,"203038_at","PTPRK"
12489,"203039_s_at","NDUFS1"
12490,"203040_s_at","HMBS"
12491,"203041_s_at","LAMP2"
12492,"203042_at","LAMP2"
12493,"203043_at","ZBED1"
12494,"203044_at","CHSY1"
12495,"203045_at","NINJ1"
12496,"203046_s_at","TIMELESS"
12497,"203047_at","STK10"
12498,"203048_s_at","SKIC3"
12499,"203049_s_at","SKIC3"
12500,"203050_at","TP53BP1"
12501,"203051_at","BAHD1"
12502,"203052_at","C2"
12503,"203053_at","BCAS2"
12504,"203054_s_at","TCTA"
12505,"203055_s_at","ARHGEF1"
12506,"203056_s_at","PRDM2"
12507,"203057_s_at","PRDM2"
12508,"203058_s_at","PAPSS2"
12509,"203059_s_at","PAPSS2"
12510,"203060_s_at","PAPSS2"
12511,"203061_s_at","MDC1"
12512,"203062_s_at","MDC1"
12513,"203063_at","PPM1F"
12514,"203064_s_at","FOXK2"
12515,"203065_s_at","CAV1"
12516,"203066_at","CHST15"
12517,"203067_at","PDHX"
12518,"203068_at","KLHL21"
12519,"203069_at","SV2A"
12520,"203070_at","SEMA3B"
12521,"203071_at","SEMA3B"
12522,"203072_at","MYO1E"
12523,"203073_at","COG2"
12524,"203074_at","ANXA8L1"
12525,"203075_at","SMAD2"
12526,"203076_s_at","SMAD2"
12527,"203077_s_at","SMAD2"
12528,"203078_at","CUL2"
12529,"203079_s_at","CUL2"
12530,"203080_s_at","BAZ2B"
12531,"203081_at","CTNNBIP1"
12532,"203082_at","BMS1"
12533,"203083_at","THBS2"
12534,"203084_at","TGFB1"
12535,"203085_s_at","TGFB1"
12536,"203086_at","KIF2A"
12537,"203087_s_at","KIF2A"
12538,"203088_at","FBLN5"
12539,"203089_s_at","HTRA2"
12540,"203090_at","SDF2"
12541,"203091_at","FUBP1"
12542,"203092_at","TIMM44"
12543,"203093_s_at","TIMM44"
12544,"203094_at","MAD2L1BP"
12545,"203095_at","MTIF2"
12546,"203096_s_at","RAPGEF2"
12547,"203097_s_at","RAPGEF2"
12548,"203098_at","CDYL"
12549,"203099_s_at","CDYL"
12550,"203100_s_at","CDYL"
12551,"203101_s_at","MGAT2"
12552,"203102_s_at","MGAT2"
12553,"203103_s_at","PRPF19"
12554,"203104_at","CSF1R"
12555,"203105_s_at","DNM1L"
12556,"203106_s_at","VPS41"
12557,"203107_x_at","RPS2"
12558,"203108_at","GPRC5A"
12559,"203109_at","UBE2M"
12560,"203110_at","PTK2B"
12561,"203111_s_at","PTK2B"
12562,"203112_s_at","NELFA"
12563,"203113_s_at","EEF1D"
12564,"203114_at","ZNRD2"
12565,"203115_at","FECH"
12566,"203116_s_at","FECH"
12567,"203117_s_at","PAN2"
12568,"203118_at","PCSK7"
12569,"203119_at","CCDC86"
12570,"203120_at","TP53BP2"
12571,"203122_at","TRAPPC12"
12572,"203123_s_at","SLC11A2"
12573,"203124_s_at","SLC11A2"
12574,"203125_x_at","SLC11A2"
12575,"203126_at","IMPA2"
12576,"203127_s_at","SPTLC2"
12577,"203128_at","SPTLC2"
12578,"203129_s_at","KIF5C"
12579,"203130_s_at","KIF5C"
12580,"203131_at","PDGFRA"
12581,"203132_at","RB1"
12582,"203133_at","SEC61B"
12583,"203134_at","PICALM"
12584,"203135_at","TBP"
12585,"203136_at","RABAC1"
12586,"203137_at","WTAP"
12587,"203138_at","HAT1"
12588,"203139_at","DAPK1"
12589,"203140_at","BCL6"
12590,"203141_s_at","AP3B1"
12591,"203142_s_at","AP3B1"
12592,"203143_s_at","KIAA0040"
12593,"203144_s_at","KIAA0040"
12594,"203145_at","SPAG5"
12595,"203146_s_at","GABBR1"
12596,"203147_s_at","TRIM14"
12597,"203148_s_at","TRIM14"
12598,"203149_at","NECTIN2"
12599,"203150_at","RABEPK"
12600,"203151_at","MAP1A"
12601,"203152_at","MRPL40"
12602,"203153_at","IFIT1"
12603,"203154_s_at","PAK4"
12604,"203155_at","SETDB1"
12605,"203156_at","AKAP11"
12606,"203157_s_at","GLS"
12607,"203158_s_at","GLS"
12608,"203159_at","GLS"
12609,"203160_s_at","RNF8"
12610,"203161_s_at","RNF8"
12611,"203162_s_at","KATNB1"
12612,"203163_at","KATNB1"
12613,"203164_at","SLC33A1"
12614,"203165_s_at","SLC33A1"
12615,"203166_at","CFDP1"
12616,"203167_at","TIMP2"
12617,"203168_at","ATF6B"
12618,"203169_at","RGP1"
12619,"203170_at","RRP8"
12620,"203171_s_at","RRP8"
12621,"203172_at","FXR2"
12622,"203173_s_at","VPS35L"
12623,"203174_s_at","ARFRP1"
12624,"203175_at","RHOG"
12625,"203176_s_at","TFAM"
12626,"203177_x_at","TFAM"
12627,"203178_at","GATM"
12628,"203179_at","GALT"
12629,"203180_at","ALDH1A3"
12630,"203181_x_at","SRPK2"
12631,"203182_s_at","SRPK2"
12632,"203183_s_at","SMARCD1"
12633,"203184_at","FBN2"
12634,"203185_at","RASSF2"
12635,"203186_s_at","S100A4"
12636,"203187_at","DOCK1"
12637,"203188_at","B4GAT1"
12638,"203189_s_at","NDUFS8"
12639,"203190_at","NDUFS8"
12640,"203191_at","ABCB6"
12641,"203192_at","ABCB6"
12642,"203193_at","ESRRA"
12643,"203194_s_at","NUP98"
12644,"203195_s_at","NUP98"
12645,"203196_at","ABCC4"
12646,"203197_s_at","CZIB"
12647,"203198_at","CDK9"
12648,"203199_s_at","MTRR"
12649,"203200_s_at","MTRR"
12650,"203201_at","PMM2"
12651,"203202_at","KRR1"
12652,"203203_s_at","KRR1"
12653,"203204_s_at","KDM4A"
12654,"203205_at","KDM4A"
12655,"203206_at","FAM53B"
12656,"203207_s_at","MTFR1"
12657,"203208_s_at","MTFR1"
12658,"203209_at","RFC5"
12659,"203210_s_at","RFC5"
12660,"203211_s_at","MTMR2"
12661,"203212_s_at","MTMR2"
12662,"203213_at","CDK1"
12663,"203214_x_at","CDK1"
12664,"203215_s_at","MYO6"
12665,"203216_s_at","MYO6"
12666,"203217_s_at","ST3GAL5"
12667,"203218_at","MAPK9"
12668,"203219_s_at","APRT"
12669,"203220_s_at","TLE1"
12670,"203221_at","TLE1"
12671,"203222_s_at","TLE1"
12672,"203223_at","RABEP1"
12673,"203224_at","RFK"
12674,"203225_s_at","RFK"
12675,"203226_s_at","TSPAN31"
12676,"203227_s_at","TSPAN31"
12677,"203228_at","PAFAH1B3"
12678,"203229_s_at","CLK2"
12679,"203230_at","DVL1"
12680,"203231_s_at","ATXN1"
12681,"203232_s_at","ATXN1"
12682,"203233_at","IL4R"
12683,"203234_at","UPP1"
12684,"203235_at","THOP1"
12685,"203236_s_at","LGALS9"
12686,"203237_s_at","NOTCH3"
12687,"203238_s_at","NOTCH3"
12688,"203239_s_at","CNOT3"
12689,"203240_at","FCGBP"
12690,"203241_at","UVRAG"
12691,"203242_s_at","PDLIM5"
12692,"203243_s_at","PDLIM5"
12693,"203244_at","PEX5"
12694,"203245_s_at","BRD3OS"
12695,"203246_s_at","NPRL2"
12696,"203247_s_at","ZNF24"
12697,"203248_at","ZNF24"
12698,"203249_at","EZH1"
12699,"203250_at","SCAF8"
12700,"203252_at","CDK2AP2"
12701,"203253_s_at","PPIP5K2"
12702,"203254_s_at","TLN1"
12703,"203255_at","FBXO11"
12704,"203256_at","CDH3"
12705,"203257_s_at","CSTPP1"
12706,"203258_at","DRAP1"
12707,"203259_s_at","HDDC2"
12708,"203260_at","HDDC2"
12709,"203261_at","DCTN6"
12710,"203262_s_at","FAM50A"
12711,"203263_s_at","ARHGEF9"
12712,"203264_s_at","ARHGEF9"
12713,"203265_s_at","MAP2K4"
12714,"203266_s_at","MAP2K4"
12715,"203267_s_at","DRG2"
12716,"203268_s_at","DRG2"
12717,"203269_at","NSMAF"
12718,"203270_at","DTYMK"
12719,"203271_s_at","UNC119"
12720,"203272_s_at","TUSC2"
12721,"203273_s_at","TUSC2"
12722,"203274_at","F8A1"
12723,"203275_at","IRF2"
12724,"203276_at","LMNB1"
12725,"203277_at","DFFA"
12726,"203278_s_at","PHF21A"
12727,"203279_at","EDEM1"
12728,"203280_at","SAFB2"
12729,"203281_s_at","UBA7"
12730,"203282_at","GBE1"
12731,"203283_s_at","HS2ST1"
12732,"203284_s_at","HS2ST1"
12733,"203285_s_at","HS2ST1"
12734,"203286_at","RNF44"
12735,"203287_at","LAD1"
12736,"203288_at","GARRE1"
12737,"203289_s_at","NPRL3"
12738,"203290_at","HLA-DQA1"
12739,"203291_at","CNOT4"
12740,"203292_s_at","VPS11"
12741,"203293_s_at","LMAN1"
12742,"203294_s_at","LMAN1"
12743,"203295_s_at","ATP1A2"
12744,"203296_s_at","ATP1A2"
12745,"203297_s_at","JARID2"
12746,"203298_s_at","JARID2"
12747,"203299_s_at","AP1S2"
12748,"203300_x_at","AP1S2"
12749,"203301_s_at","DMTF1"
12750,"203302_at","DCK"
12751,"203303_at","DYNLT3"
12752,"203304_at","BAMBI"
12753,"203305_at","F13A1"
12754,"203306_s_at","SLC35A1"
12755,"203307_at","GNL1"
12756,"203308_x_at","HPS1"
12757,"203309_s_at","HPS1"
12758,"203310_at","STXBP3"
12759,"203311_s_at","ARF6"
12760,"203312_x_at","ARF6"
12761,"203313_s_at","TGIF1"
12762,"203314_at","GTPBP6"
12763,"203315_at","NCK2"
12764,"203316_s_at","SNRPE"
12765,"203317_at","PSD4"
